track_name,artist_name,artist_genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
telepatía,Kali Uchis,"['colombian pop', 'pop', 'r&b']",87,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,6tDDoYIxWvMLTdKpjFkc1B,160191,4
For Tonight,Giveon,"['pop', 'r&b']",84,0.442,0.517,9,-7.807,1,0.0548,0.0699,0.0,0.114,0.2,79.867,61Emqg95O9zo1GNOcyxq4Y,193822,4
favorite crime,Olivia Rodrigo,['pop'],88,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929,5JCoSi02qi3jJeHdZXMmR8,152667,4
MONTERO (Call Me By Your Name),Lil Nas X,"['lgbtq+ hip hop', 'pop']",90,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,1SC5rEoYDGUK4NfG82494W,137704,4
we fell in love in october,girl in red,"['bedroom pop', 'bubblegrunge', 'indie pop', 'norwegian indie', 'pop']",87,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959,1BYZxKSf0aTxp8ZFoeyM3d,184154,4
Man in the Mirror,A Boogie Wit da Hoodie,"['melodic rap', 'rap', 'trap']",83,0.849,0.631,3,-4.241,0,0.0637,0.171,0.0,0.149,0.55,135.997,7uLFOXgLrS90tEYPO1DGXy,215304,4
Whiskey Glasses,Morgan Wallen,['contemporary country'],81,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,6foY66mWZN0pSRjZ408c00,234347,4
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,"['latin', 'latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'trap latino']",94,0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,4gzsuuZypVbxs0Af1LSZyB,207301,4
Wishing Well,Juice WRLD,"['chicago rap', 'melodic rap']",84,0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972,2U5WueTLIK5WJLD7mvDODv,194621,4
Washing Machine Heart,Mitski,['brooklyn indie'],86,0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,3jjsRKEsF42ccXf8kWR3nu,128199,4
Ain't Shit,Doja Cat,"['dance pop', 'pop']",85,0.855,0.488,3,-4.601,1,0.208,0.506,0.0,0.347,0.619,124.097,5lAnYvAIkSDNXqfo7DyFUm,174253,4
My Universe,Coldplay,"['permanent wave', 'pop']",92,0.588,0.701,9,-6.39,1,0.0402,0.00813,0.0,0.2,0.443,104.988,3FeVmId7tL5YN8B7R3imoM,228000,4
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,"['dark trap', 'new orleans rap', 'underground hip hop']",85,0.792,0.511,2,-6.876,1,0.0409,0.124,9.04e-05,0.14,0.111,113.983,30QR0ndUdiiMQMA9g1PGCm,168490,4
my ex's best friend (with blackbear),Machine Gun Kelly,"['ohio hip hop', 'pop rap']",84,0.731,0.675,5,-5.134,0,0.0434,0.00473,0.0,0.141,0.298,124.939,7kDUspsoYfLkWnZR7qwHZl,139461,4
Love & War,Kodak Black,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'trap']",82,0.762,0.649,11,-5.624,0,0.0527,0.58,1.7e-05,0.0971,0.501,145.09,1WGmhglF1ghRiHsx4YUq86,239146,4
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,"['afro r&b', 'ghanaian alternative', 'ghanaian pop']",89,0.87,0.523,1,-8.052,0,0.0602,0.433,2.07e-05,0.113,0.319,110.02,09gysnJpfQ3ublBmJDfcEC,204764,4
Yes Indeed,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",82,0.963,0.346,5,-9.309,0,0.53,0.0355,0.0,0.108,0.562,119.957,6vN77lE9LK6HP2DewaN6HZ,142273,4
No Love (with SZA),Summer Walker,"['pop', 'r&b']",84,0.707,0.618,1,-5.825,0,0.19,0.17,0.0,0.293,0.517,133.876,08SB2OtZkaliju77WYEKxk,231498,4
Save Your Tears,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",90,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,5QO79kh1waicV47BqGRL3g,215627,4
