track_name,artist_name,artist_genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",83,0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024,4QNpBfC0zvjKqPJcyqBy9W,252307,4
Poker Face,Lady Gaga,"['art pop', 'dance pop', 'pop']",80,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999,1QV6tiMFM6fSOKOGLMHYYg,237200,4
On The Floor - Radio Edit,Jennifer Lopez,"['dance pop', 'pop', 'pop rap', 'urban contemporary']",72,0.758,0.686,11,-6.346,1,0.0792,0.0848,0.00127,0.142,0.444,130.007,0Oe49j06Bjrxs8PltuVeaW,230907,4
Miss Independent,Ne-Yo,"['dance pop', 'pop', 'r&b', 'urban contemporary']",74,0.668,0.673,1,-5.714,1,0.145,0.48,0.0,0.194,0.727,171.812,1yJ5fyqBusR7Verj8JGsKV,232000,4
Time of Our Lives,Pitbull,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",83,0.721,0.802,1,-5.797,1,0.0583,0.0921,0.0,0.694,0.724,124.022,2bJvI42r8EF3wxjOuDav4r,229360,4
Beautiful,Snoop Dogg,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",68,0.893,0.74,11,-4.936,0,0.132,0.299,0.0,0.0881,0.963,101.025,4675yUu8AUbE72T94BkLCD,299147,4
No Air (feat. Chris Brown),Jordin Sparks,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'r&b', 'urban contemporary']",73,0.466,0.759,8,-4.978,0,0.199,0.0521,0.0,0.0587,0.328,160.033,1jUA4rb6ZCv4gby4YU53xq,264373,4
Forever,Chris Brown,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",77,0.672,0.82,11,-4.456,1,0.0459,0.0368,0.000188,0.184,0.438,120.005,3NZJlJemX3mzjf56MqC5ML,278573,4
With You,Chris Brown,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",73,0.662,0.693,3,-4.298,1,0.0698,0.134,0.0,0.145,0.655,86.009,5Lgcn7u07bHuqbOtXkN62u,252120,4
So Sick,Ne-Yo,"['dance pop', 'pop', 'r&b', 'urban contemporary']",79,0.452,0.574,6,-8.336,1,0.31,0.246,0.0,0.189,0.58,92.791,6brl7bwOHmGFkNw3MBqssT,207187,4
Don't Lie,Black Eyed Peas,"['dance pop', 'pop', 'pop rap']",64,0.662,0.785,9,-5.299,1,0.186,0.16,0.0,0.0784,0.604,89.885,6tp27J7xy18DQiQXut3GsF,219000,4
Hips Don't Lie (feat. Wyclef Jean),Shakira,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",85,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,3ZFTkvIE7kyPt6Nu3PEa7V,218093,4
